Species.ID.number,Kingdom,Phylum,Class,Order,Family,Species,Red.List.status
22687196,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Lophornis brachylophus,CR
22687187,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Lophornis gouldii,VU
22687993,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Metallura baroni,EN
22688018,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Metallura iracunda,EN
22726798,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Oxypogon cyanolaemus,CR
22726810,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Oxypogon stuebelii,VU
22687703,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Phlogophilus hemileucurus,VU
22687987,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Ramphomicron dorsale,EN
22688308,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Selasphorus ardens,EN
22687863,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Sephanoides fernandensis,CR
22688049,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Taphrolesbia griseiventris,EN
22687383,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Thalurania ridgwayi,VU
22697636,ANIMALIA,CHORDATA,AVES,CATHARTIFORMES,CATHARTIDAE,Gymnogyps californianus,CR
22694870,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Brachyramphus marmoratus,EN
22694856,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Pinguinus impennis,EX
22694887,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Synthliboramphus craveri,VU
62101215,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Synthliboramphus hypoleucus,EN
62101249,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Synthliboramphus scrippsi,VU
22694899,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Synthliboramphus wumizusume,VU
22693928,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Anarhynchus frontalis,VU
62290750,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Charadrius obscurus,EN
22693785,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Charadrius sanctaehelenae,CR
22693780,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Charadrius thoracicus,VU
22693883,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Thinornis cucullatus,VU
22693899,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Thinornis novaeseelandiae,EN
22694053,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Vanellus gregarius,CR
22693962,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Vanellus macropterus,CR
22694140,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,GLAREOLIDAE,Glareola ocularis,VU
22694103,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus bitorquatus,CR
22693656,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus chathamensis,EN
22693621,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus meadewaldoi,EX
22694750,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Chlidonias albostriatus,EN
22694413,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Larus bulleri,EN
22694452,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Larus fuliginosus,VU
22694447,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Larus relictus,VU
22694502,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Rissa brevirostris,VU
22694268,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Rynchops albicollis,VU
22694436,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Saundersilarus saundersi,VU
22694711,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Sterna acuticauda,EN
22694685,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Sternula lorata,EN
22694691,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Sternula nereis,VU
22694585,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Thalasseus bernsteini,CR
22693049,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,PEDIONOMIDAE,Pedionomus torquatus,EN
22693690,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,RECURVIROSTRIDAE,Himantopus novaezelandiae,CR
22735692,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ROSTRATULIDAE,Rostratula australis,EN
22693452,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Calidris pygmaea,CR
22693359,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Calidris tenuirostris,VU
62178398,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Coenocorypha barrierensis,EX
22727515,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Coenocorypha iredalei,EX
22693137,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Coenocorypha pusilla,VU
22693107,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Gallinago macrodactyla,VU
22693082,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Gallinago nemoricola,VU
22693170,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Numenius borealis,CR
22693199,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Numenius madagascariensis,VU
22693182,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Numenius tahitiensis,VU
22693185,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Numenius tenuirostris,CR
62289108,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Prosobonia cancellata,EX
22728772,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Prosobonia ellisi,EX
22693330,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Prosobonia leucoptera,EX
62289271,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Prosobonia parvirostris,EN
22693056,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Scolopax mira,VU
22693068,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Scolopax rochussenii,EN
22693225,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa guttifer,EN
22680592,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,TURNICIDAE,Turnix everetti,VU
22725519,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,TURNICIDAE,Turnix hottentottus,EN
22734789,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,TURNICIDAE,Turnix novaecaledoniae,CR
22680572,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,TURNICIDAE,Turnix olivii,EN
22697695,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,CICONIIDAE,Ciconia boyciana,EN
22727255,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,CICONIIDAE,Ciconia episcopus,VU
22697685,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,CICONIIDAE,Ciconia stormi,EN
22697721,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,CICONIIDAE,Leptoptilos dubius,EN
22697713,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,CICONIIDAE,Leptoptilos javanicus,VU
22697651,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,CICONIIDAE,Mycteria cinerea,EN
22691601,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alectroenas nitidissimus,EX
62759683,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alectroenas payandeei,EX
22691030,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alopecoenas erythropterus,CR
22691052,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alopecoenas ferrugineus,EX
22691076,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alopecoenas hoedtii,EN
22691024,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alopecoenas kubaryi,VU
22691061,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alopecoenas rubescens,VU
22691056,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alopecoenas salamonis,EX
22691047,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alopecoenas sanctaecrucis,EN
22691042,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alopecoenas stairi,VU
